temperature,prochlorococcus,synechococcus,picoeukaryotes,shark_density,shark_density_scaled
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,-2147483648.0,13742.0,2570.0,3.20150938932784e-05,32.0150938932784
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,-2147483648.0,13742.0,2570.0,3.00792962661944e-05,30.079296266194397
271.3501,-2147483648.0,13742.0,2570.0,3.20150938932784e-05,32.0150938932784
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,17676.0,1496.0,4.68626712972764e-05,46.8626712972764
271.3501,0.0,18345.0,2974.0,4.68626712972764e-05,46.8626712972764
271.3501,-2147483648.0,13742.0,2570.0,3.00792962661944e-05,30.079296266194397
271.3501,-2147483648.0,13742.0,2570.0,3.00792962661944e-05,30.079296266194397
271.3501,-2147483648.0,13742.0,2570.0,3.20150938932784e-05,32.0150938932784
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,2154.0,375.0,4.68626712972764e-05,46.8626712972764
271.3501,0.0,17676.0,1496.0,4.68626712972764e-05,46.8626712972764
271.3501,0.0,18345.0,2974.0,4.68626712972764e-05,46.8626712972764
271.3501,-2147483648.0,61996.0,2459.0,2.26913980441168e-05,22.6913980441168
271.3501,-2147483648.0,61996.0,2459.0,2.26913980441168e-05,22.6913980441168
271.3501,-2147483648.0,68967.0,2776.0,2.26913980441168e-05,22.6913980441168
271.3501,-2147483648.0,13742.0,2570.0,3.00792962661944e-05,30.079296266194397
271.3501,-2147483648.0,13742.0,2570.0,3.00792962661944e-05,30.079296266194397
271.3501,-2147483648.0,13742.0,2570.0,3.00792962661944e-05,30.079296266194397
271.3501,-2147483648.0,13742.0,2570.0,3.20150938932784e-05,32.0150938932784
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,0.0,14502.0,2.60768083535368e-05,26.076808353536798
271.3501,0.0,2154.0,375.0,4.68626712972764e-05,46.8626712972764
271.3501,0.0,2154.0,375.0,4.68626712972764e-05,46.8626712972764
271.3501,0.0,18345.0,2974.0,4.68626712972764e-05,46.8626712972764
271.3501,-2147483648.0,68967.0,2776.0,2.26913980441168e-05,22.6913980441168
271.3501,-2147483648.0,44559.0,7902.0,2.26913980441168e-05,22.6913980441168
271.3501,-2147483648.0,44559.0,7902.0,2.26913980441168e-05,22.6913980441168
271.3501,-2147483648.0,27887.0,6954.0,2.26913980441168e-05,22.6913980441168
271.3501,-2147483648.0,13742.0,2570.0,0.0002120343851856,212.0343851856
271.3501,-2147483648.0,13742.0,2570.0,3.00792962661944e-05,30.079296266194397
271.3501,-2147483648.0,13742.0,2570.0,3.00792962661944e-05,30.079296266194397
271.3501,-2147483648.0,13742.0,2570.0,3.00792962661944e-05,30.079296266194397
271.3501,-2147483648.0,13742.0,2570.0,3.20150938932784e-05,32.0150938932784
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
271.3501,0.0,0.0,14502.0,0.0002440395765006,244.03957650060002
